Date,Tags,Name
"November 9, 2021",OTP,
"November 9, 2021",입금,
"November 9, 2021",이체,
"November 9, 2021",통장정리이월,
"November 9, 2021",통장정리이월,
"November 9, 2021","OTP, 입금",
"November 10, 2021","계좌해지, 대리인",
"November 10, 2021",OTP,
"November 10, 2021","irp, 상품상담",
"November 10, 2021",ATM,
"November 10, 2021",입금,
"November 10, 2021","대리인, 사이버증권",
"November 10, 2021","계좌신규, 계좌해지, 대출조회",
"November 10, 2021","체크카드, 한도제한",
"November 11, 2021","irp, 상품상담",
"November 11, 2021",OTP,
"November 11, 2021",외환환전,
"November 11, 2021",체크카드,
"November 11, 2021","수표, 입금",
"November 11, 2021",외화예금,
"November 11, 2021",외환환전,
"November 11, 2021",비밀번호,
"November 11, 2021",지급,
"November 11, 2021","지급, 통장정리이월",
"November 11, 2021",신용카드,
"November 11, 2021",신용카드,
"November 12, 2021",계좌해지,
"November 12, 2021","NET점자서, 대출조회, 신용대출",
"November 12, 2021","OTP, 계좌신규",
"November 12, 2021",통장정리이월,
"November 12, 2021",irp,
"November 12, 2021","외국인, 지급",
"November 15, 2021","청약, 청약상담",
"November 15, 2021",연금저축,
"November 15, 2021","금융공인인증서, 대리인, 비밀번호",
"November 15, 2021",OTP,
"November 15, 2021","청약, 청약상담",
"November 15, 2021","청약, 청약상담",
"November 15, 2021",통장정리이월,
"November 15, 2021","계좌해지, 대리인",
"November 16, 2021","계좌신규, 상품상담",
"November 16, 2021",상품권,
"November 16, 2021",외환당발송금,
"November 16, 2021","대리인, 사이버증권",
"November 16, 2021","계좌해지, 청약",
"November 16, 2021",전자증명서,
"November 17, 2021",체크카드,
"November 17, 2021","ATM, 체크카드",
"November 17, 2021",세금,
"November 17, 2021","수표, 입금",
"November 17, 2021","대리인, 사이버증권",
"November 17, 2021",지급,
"November 17, 2021","대출상담, 신용대출",
"November 17, 2021","담보대출, 대출상담, 신용대출",
"November 17, 2021","대출상담, 신용대출",
"November 18, 2021",계좌해지,
"November 18, 2021","고객정보, 이체, 청약, 청약상담",
"November 18, 2021","OTP, 이체, 한도제한",
"November 18, 2021",OTP,
"November 18, 2021","계좌해지, 청약",
"November 18, 2021","계좌해지, 대리인, 청약",
"November 18, 2021","계좌해지, 이체, 청약, 청약상담",
"November 19, 2021",금융공인인증서,
"November 19, 2021","고액, 입금",
"November 19, 2021",지급,
"November 19, 2021",지급,
"November 19, 2021",OTP,
"November 19, 2021",이체,
"November 19, 2021","대출상담, 신용대출",
"November 19, 2021","OTP, 고객정보, 금융공인인증서, 대출조회",
"November 25, 2021","수표, 입금, 지급",
"November 25, 2021","계좌신규, 체크카드",
"November 25, 2021",이체,
"November 25, 2021",OTP,
"November 25, 2021",irp,
"November 25, 2021","대출상담, 신용대출",
"November 25, 2021","ATM, 통장정리이월",
"November 25, 2021",외환당발송금,
"November 25, 2021",이체,
"November 25, 2021","이체, 통장정리이월",
"November 25, 2021","OTP, 이체",
"November 25, 2021",계좌신규,
"November 26, 2021",irp,
"November 26, 2021",지급,
"November 26, 2021","irp, 통장정리이월",
"November 26, 2021",외환환전,
"November 26, 2021",고객정보,
"November 26, 2021","ATM, 계좌신규",
"November 26, 2021","상품상담, 자동이체",
"November 26, 2021","청약, 청약상담",
"November 29, 2021",사이버증권,
"November 29, 2021","계좌해지, 이체, 입금, 통장정리이월",
"November 29, 2021","NET점자서, 신용대출",
"November 29, 2021","수표, 입금",
"November 29, 2021","계좌신규, 계좌해지, 청약",
"November 29, 2021",세금,
"November 29, 2021","수표, 지급, 통장정리이월",
"November 29, 2021","대리인, 자동이체",
"November 29, 2021",지급,
"November 29, 2021","대출상담, 신용대출",
"November 30, 2021","대리인, 이체, 입금",
"November 30, 2021",입금,
"November 30, 2021","계좌해지, 대리인, 이체",
"November 30, 2021",사이버증권,
"November 30, 2021",사이버증권,
"November 30, 2021","대출상담, 신용대출",
"November 30, 2021","청약, 청약상담",
"November 30, 2021","신용대출, 여신서류제출",
"November 30, 2021",신용대출,
"November 30, 2021",지급,
"November 30, 2021",세금,
"November 30, 2021",통장정리이월,
"November 30, 2021","대출상담, 신용대출",
"November 30, 2021",고객정보,
"December 1, 2021","irp, 계좌신규",
"December 1, 2021",OTP,
"December 1, 2021","수표, 입금, 체크카드",
"December 1, 2021","상품상담, 청약, 청약상담",
"December 1, 2021",입금,
"December 1, 2021",OTP,
"December 2, 2021","대리인, 체크카드",
"December 2, 2021","irp, 계좌신규",
"December 2, 2021",신용카드,
"December 2, 2021","계좌신규, 청약",
"December 2, 2021",지급,
"December 2, 2021",고객정보,
"December 2, 2021","대출상담, 신용대출",
"December 3, 2021","대출상담, 수표, 신용대출, 입금",
"December 3, 2021","체크카드, 특수카드",
"December 3, 2021","계좌해지, 청약",
"December 6, 2021","OTP, 고객정보, 대리인, 비밀번호, 청약, 체크카드",
"December 6, 2021",상품상담,
"December 6, 2021","ATM, OTP",
"December 6, 2021",비밀번호,
"December 6, 2021",세금,
"December 6, 2021",비밀번호,
"December 6, 2021",지급,
"December 6, 2021","이체, 체크카드",
"December 6, 2021",계좌신규,
"December 6, 2021","irp, 상품상담",
"December 6, 2021","대출상담, 신용대출",
"December 6, 2021","계좌신규, 고객신규, 대리인, 청약",
"December 6, 2021","신용대출, 여신서류제출",
"December 6, 2021","대출조회, 신용대출",
"December 7, 2021",OTP,
"December 7, 2021",외화예금,
"December 7, 2021","체크카드, 특수카드",
"December 7, 2021",외환환전,
"December 7, 2021",고객정보,
"December 7, 2021",지급,
"December 7, 2021","대출상담, 신용대출",
"December 7, 2021","대출상담, 신용대출",
"December 7, 2021",고객정보,
"December 9, 2021","담보대출, 대출상담",
"December 9, 2021",이체,
"December 9, 2021",한도제한,
"December 9, 2021","irp, 체크카드",
"December 9, 2021",지급,
"December 10, 2021","담보대출, 대리인, 대출상담, 사이버증권",
"December 10, 2021","고액, 이체, 통장정리이월",
"December 10, 2021","ATM, OTP",
"December 10, 2021",NET점자서,
"December 10, 2021",금융공인인증서,
"December 10, 2021",OTP,
"December 13, 2021","대출상담, 신용대출",
"December 13, 2021","대출조회, 신용카드",
"December 13, 2021",OTP,
"December 13, 2021",신용대출,
"December 13, 2021","계좌신규, 계좌해지, 청약",
"December 13, 2021","OTP, 담보대출, 대출상담",
"December 13, 2021",외환환전,
"December 13, 2021","OTP, 금융공인인증서",
"December 13, 2021","대출상담, 신용대출",
"December 13, 2021",체크카드,
"December 14, 2021",OTP,
"December 14, 2021",세금,
"December 14, 2021","수표, 입금",
"December 14, 2021",한도제한,
"December 14, 2021",irp,
"December 14, 2021",입금,
"December 14, 2021",대출상담,
"December 14, 2021",세금,
"December 15, 2021","입금, 체크카드",
"December 15, 2021",OTP,
"December 15, 2021",입금,
"December 15, 2021",입금,
"December 15, 2021","입금, 체크카드",
"December 15, 2021","담보대출, 대출상담, 신용대출",
"December 16, 2021",NET점자서,
"December 16, 2021",지급,
"December 16, 2021","irp, 상품상담, 연금저축",
"December 16, 2021",irp,
"December 16, 2021","NET점자서, 신용대출",
"December 16, 2021","NET점자서, 신용대출",
"December 17, 2021","NET점자서, 신용대출",
"December 17, 2021",외환환전,
"December 17, 2021",신용카드,
"December 17, 2021","NET점자서, 신용대출",
"December 17, 2021","수표, 지급",
"December 17, 2021","수표, 입금",
"December 17, 2021","계좌신규, 계좌해지",
"December 17, 2021",대출조회,
"December 17, 2021","지급, 체크카드",
"December 17, 2021","NET점자서, 신용대출",
"December 17, 2021","OTP, 금융공인인증서, 신용카드",
"December 21, 2021","대리인, 체크카드",
"December 21, 2021","대출상담, 신용대출, 입금",
"December 21, 2021",계좌해지,
"December 21, 2021","이체, 통장정리이월",
"December 21, 2021","irp, 상품상담",
"December 21, 2021",신용대출,
"December 21, 2021",OTP,
"December 21, 2021","irp, 상품상담",
"December 21, 2021",irp,
"December 21, 2021",irp,
"December 21, 2021",상품상담,
"December 21, 2021",OTP,
"December 22, 2021",OTP,
"December 22, 2021",금융공인인증서,
"December 22, 2021",체크카드,
"December 22, 2021","NET점자서, 신용대출",
"December 22, 2021","계좌해지, 대리인, 청약",
"December 22, 2021","비밀번호, 체크카드",
"December 22, 2021",체크카드,
"December 22, 2021",irp,
"December 23, 2021",OTP,
"December 23, 2021",신용대출,
"December 23, 2021",통장정리이월,
"December 23, 2021",지급,
"December 23, 2021","irp, 상품상담",
"December 23, 2021",외환당발송금,
"December 23, 2021","고객정보, 자동이체",
"December 23, 2021","이체, 통장정리이월",
"December 24, 2021",기타,
"December 24, 2021",irp,
"December 24, 2021",상품권,
"December 24, 2021",세금,
"December 24, 2021","계좌신규, 한도제한",
"December 24, 2021","ATM, OTP, 지급",
"December 30, 2021","계좌신규, 대리인",
"December 30, 2021",이체,
"December 30, 2021",지급,
"December 30, 2021",체크카드,
"December 30, 2021",대출조회,
"December 30, 2021","이체, 지급",
"December 30, 2021",계좌해지,
"December 31, 2021",금융공인인증서,
"December 31, 2021","irp, 거래중지계좌, 상품상담, 연금저축, 청약",
"December 31, 2021",기타,
"January 3, 2022","대출상담, 신용대출",
"January 3, 2022","OTP, 이체, 체크카드",
"January 3, 2022","세금, 체크카드",
"January 3, 2022",OTP,
"January 3, 2022","대출상담, 신용대출",
"January 3, 2022",통장정리이월,
"January 3, 2022","대출상담, 신용대출",
"January 3, 2022","수표, 입금",
"January 3, 2022",OTP,
"January 3, 2022","고액, 대출상담, 신용대출, 이체",
"January 3, 2022","대출상담, 신용대출",
"January 3, 2022",외환당발송금,
"January 3, 2022",통장정리이월,
"January 3, 2022",ISA,
"January 4, 2022",외환당발송금,
"January 4, 2022","대출상담, 신용대출",
"January 4, 2022","대출상담, 신용대출",
"January 4, 2022","계좌신규, 대리인, 청약",
"January 4, 2022","대리인, 이체",
"January 4, 2022","담보대출, 대출상담, 신용대출",
"January 4, 2022",통장정리이월,
"January 4, 2022",통장정리이월,
"January 4, 2022","기타, 대출조회",
"January 5, 2022","대출상담, 신용대출",
"January 5, 2022","ATM, 체크카드",
"January 5, 2022",통장정리이월,
"January 5, 2022",신용대출,
"January 5, 2022",외환당발송금,
"January 5, 2022","계좌신규, 체크카드",
